bs,input_toks,output_toks,ttft,throughput,subset,model
1,880,32,3.8468241691589355,2921.538197465069,ttft,gpt
1,896,32,3.7102103233337402,2977.4929278067193,ttft,gpt
1,912,32,3.6653876304626465,2960.1694790211686,ttft,gpt
1,928,32,3.9066076278686523,2912.071802339794,ttft,gpt
1,944,32,3.790736198425293,2962.6197361145387,ttft,gpt
1,960,32,3.8419365882873535,2942.7740983758745,ttft,gpt
1,976,32,3.496110439300537,2980.251895644576,ttft,gpt
1,32,16,3.4945011138916016,2840.2587512301443,throughput,gpt
1,32,32,3.4933090209960938,2960.937782489052,throughput,gpt
1,32,48,3.8707852363586426,2960.0914957956056,throughput,gpt
1,32,64,3.924727439880371,2995.966434969,throughput,gpt
1,32,80,4.013538360595703,3004.4051116039377,throughput,gpt
1,32,96,3.7989020347595215,3039.6347281906064,throughput,gpt
1,32,112,3.9727091789245605,2900.9319344370824,throughput,gpt
1,32,128,3.9281249046325684,2108.1546503014956,throughput,gpt
1,32,144,3.9896368980407715,1754.243661312476,throughput,gpt
1,32,160,3.939390182495117,1536.109941557241,throughput,gpt
1,32,176,3.876805305480957,1395.2322096973653,throughput,gpt
1,32,192,4.009246826171875,1297.7702840192617,throughput,gpt
1,32,208,3.932178020477295,1225.647839518005,throughput,gpt
1,32,224,3.9787888526916504,1168.6405892452444,throughput,gpt
1,32,240,4.042506217956543,1125.4659443561798,throughput,gpt
1,32,256,3.9368271827697754,1087.9741797493139,throughput,gpt
1,32,272,3.8672685623168945,1058.3571583501182,throughput,gpt
1,32,288,3.963470458984375,1032.5182950444419,throughput,gpt
1,32,304,3.926098346710205,1010.4023635788479,throughput,gpt
1,32,320,4.031062126159668,991.3651223558368,throughput,gpt
1,32,336,4.075527191162109,974.8863095459866,throughput,gpt
1,32,352,4.0223002433776855,960.1930081084001,throughput,gpt
1,32,368,4.12827730178833,947.1243442391343,throughput,gpt
1,32,384,4.113376140594482,935.6347490464134,throughput,gpt
1,32,400,4.134953022003174,925.2355210453261,throughput,gpt
1,32,416,3.9808154106140137,915.9634584095022,throughput,gpt
1,32,432,4.195511341094971,906.2047595249861,throughput,gpt
1,32,448,4.144906997680664,897.1188015239809,throughput,gpt
1,32,464,4.133820533752441,891.9237049555701,throughput,gpt
1,32,480,4.3364763259887695,885.7334613117447,throughput,gpt
1,32,496,4.2057037353515625,879.9585201439677,throughput,gpt
1,32,512,4.031240940093994,874.3576962175508,throughput,gpt
1,32,528,3.9849281311035156,869.221471589707,throughput,gpt
1,32,544,4.0435791015625,864.5420069043173,throughput,gpt
1,32,560,4.317581653594971,859.8484548277341,throughput,gpt
1,32,576,4.153907299041748,855.64453387913,throughput,gpt
1,32,592,4.257678985595703,851.7194713060883,throughput,gpt
1,32,608,4.333436489105225,848.114005946769,throughput,gpt
1,32,624,4.014849662780762,844.6492370073411,throughput,gpt
1,32,640,4.094600677490234,841.3581059069685,throughput,gpt
1,32,656,4.16874885559082,838.2755459530275,throughput,gpt
1,32,672,4.101812839508057,835.3411096298369,throughput,gpt
1,32,688,4.2108893394470215,832.523938221563,throughput,gpt
1,32,704,3.995537757873535,829.9907315202013,throughput,gpt
1,32,720,4.132449626922607,827.4526162712989,throughput,gpt
1,32,736,4.100322723388672,825.0473842193148,throughput,gpt
1,32,752,3.9764046669006348,822.7635315281647,throughput,gpt
1,32,768,4.051148891448975,820.7562841101583,throughput,gpt
1,32,784,4.083871841430664,818.6474359877827,throughput,gpt
1,32,800,4.008650779724121,816.6868038887173,throughput,gpt
1,32,816,4.155516624450684,814.781757693577,throughput,gpt
1,32,832,4.16254997253418,813.024156285557,throughput,gpt
1,32,848,4.091382026672363,811.353958681653,throughput,gpt
1,32,864,3.970980644226074,809.6651120698501,throughput,gpt
1,32,880,4.214167594909668,808.1064682852759,throughput,gpt
1,32,896,3.965616226196289,806.5123297859463,throughput,gpt
1,32,912,4.113197326660156,805.0631325202053,throughput,gpt
1,32,928,4.181802272796631,803.71617374803,throughput,gpt
1,32,944,4.140913486480713,802.3586845634258,throughput,gpt
1,32,960,3.9649009704589844,801.0955399023546,throughput,gpt
1,32,976,4.033684730529785,799.8117701468713,throughput,gpt
1,16,32,3.6830080151557922,133.05133847495452,ttft,hf
1,32,32,3.5935839414596553,131.9194892192154,ttft,hf
1,48,32,3.851519942283631,132.28538246303353,ttft,hf
1,64,32,3.9249759912490836,132.34797661182313,ttft,hf
1,80,32,3.626727998256684,132.1693078565358,ttft,hf
1,96,32,3.7053279876708984,132.0571154526921,ttft,hf
1,112,32,3.8043439984321594,132.19346385023263,ttft,hf
1,128,32,3.7486319541931152,131.38003865966348,ttft,hf
1,144,32,3.950360000133515,131.68095361390402,ttft,hf
1,160,32,3.908095955848694,131.09989261965367,ttft,hf
1,176,32,3.8659279346466064,133.04536977488297,ttft,hf
1,192,32,3.747232019901275,132.6446745229461,ttft,hf
1,208,32,3.9735999703407283,132.23613348687985,ttft,hf
1,224,32,3.9477120637893677,133.2296606533376,ttft,hf
1,240,32,3.924472033977509,131.6374945770057,ttft,hf
1,256,32,3.960744023323059,130.86047871653352,ttft,hf
1,272,32,3.935679912567139,130.48695454851668,ttft,hf
