bs,input_toks,output_toks,ttft,throughput,subset,model
1,32,528,1.424729824066162,1103.508321193205,throughput,gpt
1,32,544,1.4091730117797852,1097.823635502695,throughput,gpt
1,32,560,1.3933181762695312,1092.4546059889874,throughput,gpt
1,32,576,1.4284253120422363,1086.4791594206702,throughput,gpt
1,32,592,1.4121532440185547,1081.6436909207193,throughput,gpt
1,32,608,1.4054179191589355,1076.899346630017,throughput,gpt
1,32,624,1.4113187789916992,1072.4567564104836,throughput,gpt
1,32,640,1.3577938079833984,1068.064095830506,throughput,gpt
1,32,656,1.4142394065856934,1064.3707332329118,throughput,gpt
1,32,672,1.4854073524475098,1060.7556221071238,throughput,gpt
1,32,688,1.4690756797790527,1056.634647065688,throughput,gpt
1,32,704,1.4133453369140625,1050.3511689557063,throughput,gpt
1,32,720,1.434326171875,1047.4184646009871,throughput,gpt
1,32,736,1.432478427886963,1044.0881805120496,throughput,gpt
1,32,752,1.440882682800293,1041.4367064621865,throughput,gpt
1,32,768,1.4257431030273438,1038.59356453006,throughput,gpt
1,32,784,1.42669677734375,1036.1006830813826,throughput,gpt
1,32,800,1.453995704650879,1033.4288999687715,throughput,gpt
1,32,816,1.441657543182373,1031.1530814603193,throughput,gpt
1,32,832,1.4494061470031738,1028.9148836528143,throughput,gpt
1,32,848,1.4656782150268555,1025.8456883920408,throughput,gpt
1,32,864,1.4472603797912598,1024.6391767979462,throughput,gpt
1,32,880,1.4387965202331543,1022.7411664208105,throughput,gpt
1,32,896,1.4424324035644531,1020.8155520676657,throughput,gpt
1,32,912,1.5053153038024902,1018.7473536425756,throughput,gpt
1,32,928,1.4442205429077148,1016.9550749774537,throughput,gpt
1,32,944,1.4229416847229004,1015.4650086833738,throughput,gpt
1,32,960,1.4792084693908691,1013.7868005827099,throughput,gpt
1,32,976,1.4632940292358398,1012.110020099036,throughput,gpt
1,16,32,1.137904018163681,492.7129007345478,ttft,hf
1,32,32,1.0807360112667084,487.59115163796173,ttft,hf
1,48,32,1.0036160051822662,493.04534819397884,ttft,hf
1,64,32,1.025983989238739,495.08279225417175,ttft,hf
1,80,32,1.0687279999256134,494.54478313076714,ttft,hf
1,96,32,1.0818239748477936,494.2001607564137,ttft,hf
1,112,32,1.043543964624405,493.75643118294704,ttft,hf
1,128,32,1.0565279871225357,492.76214892901356,ttft,hf
1,144,32,1.1758320033550262,493.91951014888735,ttft,hf
1,160,32,1.1635679900646212,492.1074171055138,ttft,hf
1,176,32,1.2194479703903198,492.2024340778306,ttft,hf
1,192,32,1.2627040147781372,489.9539303162751,ttft,hf
1,208,32,1.3256960213184357,487.94777079479394,ttft,hf
1,224,32,1.2723039686679842,489.51087904221004,ttft,hf
1,240,32,1.2823600172996519,486.0640355498598,ttft,hf
1,256,32,1.483104020357132,477.3904779997483,ttft,hf
1,272,32,1.4204559624195099,480.4658571665598,ttft,hf
1,288,32,1.4472239911556242,484.07347359549544,ttft,hf
1,304,32,1.4725520014762878,479.1093354191648,ttft,hf
1,320,32,1.4734960198402405,478.99944576735174,ttft,hf
1,336,32,1.6470640003681183,474.8248388406594,ttft,hf
1,352,32,1.6340879797935486,479.440225787487,ttft,hf
1,368,32,1.6406960189342497,479.39917021916597,ttft,hf
1,384,32,1.7385199964046478,473.28785717770194,ttft,hf
1,400,32,1.7985680103302002,476.7590787471245,ttft,hf
1,416,32,1.8289439976215363,475.9122737794566,ttft,hf
1,432,32,1.880840003490448,474.381078057875,ttft,hf
1,448,32,1.8462480008602142,477.0345553498936,ttft,hf
1,464,32,1.950336009263992,480.90046185642314,ttft,hf
1,480,32,1.991776019334793,486.27409207043024,ttft,hf
1,496,32,1.9696960151195526,486.94983391891384,ttft,hf
1,512,32,2.020239979028702,482.67536192858796,ttft,hf
1,528,32,2.1286720037460327,485.6428519474709,ttft,hf
1,544,32,2.1254319548606877,485.5252785691511,ttft,hf
1,560,32,2.2262319922447205,481.44597608109376,ttft,hf
1,576,32,2.1335039734840393,484.68894231841904,ttft,hf
1,592,32,2.1868799328804016,483.849729915911,ttft,hf
1,608,32,2.1809040307998657,482.055872413711,ttft,hf
1,624,32,2.21286404132843,485.27871689152755,ttft,hf
1,640,32,2.2102399468421936,480.20395223937396,ttft,hf
1,656,32,2.7222319245338444,476.7138432140631,ttft,hf
1,672,32,2.741320013999939,479.7120017625267,ttft,hf
1,688,32,2.8146559596061707,477.1258518263752,ttft,hf
1,704,32,2.776688039302826,480.4921603316493,ttft,hf
1,720,32,2.881696045398712,481.3652763771716,ttft,hf
1,736,32,2.9453920125961304,477.5753961147223,ttft,hf
1,752,32,2.8594799637794495,476.5799392557297,ttft,hf
1,768,32,2.872215986251831,475.08558154980904,ttft,hf
1,784,32,2.9916640520095825,476.13304743110535,ttft,hf
1,800,32,3.059287965297699,475.54041904179905,ttft,hf
1,816,32,3.083288013935089,474.5185104631765,ttft,hf
1,832,32,3.073711991310119,477.38958608673516,ttft,hf
1,848,32,3.1253119707107544,475.2521961135626,ttft,hf
1,864,32,3.181104004383087,470.9287061284545,ttft,hf
1,880,32,3.1815120577812195,473.788584800366,ttft,hf
1,896,32,3.1297280192375188,472.5981865637268,ttft,hf
1,912,32,3.519327998161316,473.13844814341024,ttft,hf
1,928,32,3.6018000245094295,471.2410832452998,ttft,hf
1,944,32,3.5421999096870422,470.2987287971026,ttft,hf
1,960,32,3.489951968193054,472.6579127165585,ttft,hf
1,976,32,3.670919954776764,469.3499019288178,ttft,hf
1,32,16,1.1093439757823944,502.2593313399234,throughput,hf
1,32,32,1.0890080034732819,497.68474636065037,throughput,hf
1,32,48,1.1187039911746979,490.1256650110255,throughput,hf
1,32,64,1.1525999903678894,491.88696957065855,throughput,hf
1,32,80,1.1964000165462492,485.4187611180057,throughput,hf
1,32,96,1.1642640233039856,487.39190451624944,throughput,hf
1,32,112,1.1560960114002228,487.69618157766297,throughput,hf
